"code","iso","country","AMP.raw.1990","AMP.raw.1991","AMP.raw.1992","AMP.raw.1993","AMP.raw.1994","AMP.raw.1995","AMP.raw.1996","AMP.raw.1997","AMP.raw.1998","AMP.raw.1999","AMP.raw.2000","AMP.raw.2001","AMP.raw.2002","AMP.raw.2003","AMP.raw.2004","AMP.raw.2005","AMP.raw.2006","AMP.raw.2007","AMP.raw.2008","AMP.raw.2009","AMP.raw.2010","AMP.raw.2011","AMP.raw.2012","AMP.raw.2013","AMP.raw.2014","AMP.raw.2015","AMP.raw.2016","AMP.raw.2017","AMP.raw.2018","AMP.raw.2019","AMP.raw.2020"
208,"DNK","Denmark",7286.31330548932,7286.31330548932,7286.31330548932,7286.31331526078,7286.31331529823,7286.31331526104,8850.38961382139,8850.38961382108,8850.38961382035,11959.2702124739,11959.270212432,11959.2702121843,11959.2702121916,12548.5771677195,14322.3161146419,16788.9806390826,16789.2593515218,16789.2739730321,16796.9772337332,16796.9772337014,18337.7457779561,18337.7457779375,18337.7457779405,18376.6363971547,18376.6363971537,18376.6363971116,18376.6363971116,18377.7261647755,18377.726164798,18377.7261647843,18377.7261647843
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073
212,"DMA","Dominica",5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369
214,"DOM","Dominican Republic",10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,35853.5004260277,35853.5004260277,35853.5004260277,35853.5004260277,35853.5004260277,46598.7774085917,46598.7774085917,46598.7774086029,46598.7774086029,46761.8738577652,47006.9064490152,47006.9064490143,47006.9064490143,47006.9064490143,47006.9064490143,47006.9064490143
218,"ECU","Ecuador",0,0,0,0,0,0,0,0,0,124063.81371923,124063.813719232,124078.537284352,124078.53728435,124090.018045178,124348.319826745,124348.319826744,124348.319826744,124348.319827384,124453.323214955,124977.754128046,125526.382743126,125526.382743125,125550.655143894,125722.516312758,125722.516312758,125988.260737608,127421.660653956,128251.965011364,129118.070527431,129118.070527432,129118.070527432
818,"EGY","Egypt",709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,2375.63223752866,2375.63223752866,2375.63223752866,2375.63223752866,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749
222,"SLV","El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.442394730643,209.442394730643,209.442394730643,209.442394730643,209.442394730643,209.442394730643,209.442394730643,253.791896332677,253.791896332677,253.791896332677,253.791896332677,253.791896332677,253.791896332677
226,"GNQ","Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894
232,"ERI","Eritrea",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",0,0,0,0,0,0,0,0,136.958547632692,136.958547632692,293.110551323903,293.110551323903,293.110551323903,293.110551323903,296.191171894931,5956.49406708195,5958.9636431759,5974.77455180769,5977.20038947268,5977.20038947268,6055.23534975524,6055.73500183095,6254.22720540938,6254.22720541002,6254.22720531191,6254.22720541344,6515.50357475303,6515.50357496111,6515.63179431209,6548.68445798109,6548.68445798109
748,"SWZ","Eswatini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,"ETH","Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"FRO","Faeroe Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"FJI","Fiji",426.457408744369,426.457408744369,426.457408744369,426.457408744369,426.457408744369,426.457408744369,426.457408744369,426.457408744369,517.402482023198,517.402482023198,526.325415621524,875.2715251406,2444.18806197605,2612.18031314145,6883.92154958488,10738.3687238222,11008.0617057161,11931.7079992977,12302.1240912241,12302.1240912241,12302.1240912241,12302.1240912241,12302.1240912241,12302.1240912241,12302.1240912241,12302.1240912241,12302.1240912241,12302.1240912241,12302.1240912241,12308.8492841339,12308.8492841339
246,"FIN","Finland",1421.88081963033,1421.88876399844,1567.74058431699,1569.60174871425,1570.92753852382,1570.93329965464,1592.6476695932,2241.14566864424,2343.68247512354,7607.82612341573,7608.30964856455,7608.73230514578,7612.1076515209,7613.12960839387,7636.06853199441,7651.00936823777,7877.26963901869,7886.76014386754,7889.06613525495,7891.91978279819,7894.99847533653,7896.65356641956,8530.66177981437,8833.3693001798,8835.10148226544,8849.31153177104,8857.94134177221,8857.94133995608,8857.95844153433,8857.95844154943,8857.95844154943
