"code","iso","country","GL5.raw.1997","GL5.raw.1998","GL5.raw.1999","GL5.raw.2000","GL5.raw.2001","GL5.raw.2002","GL5.raw.2003","GL5.raw.2004","GL5.raw.2005","GL5.raw.2006","GL5.raw.2007","GL5.raw.2008","GL5.raw.2009","GL5.raw.2010","GL5.raw.2011","GL5.raw.2012","GL5.raw.2013","GL5.raw.2014","GL5.raw.2015"
360,"IDN","Indonesia",5.49,15.3,22.77,23.49,32.04,41.22,52.92,55.26,69.12,56.61,43.92,26.64,45.18,37.17,45.81,50.04,54.54,79.83,73.98
364,"IRN","Iran",550.71,608.76,979.65,1149.57,1318.86,1459.44,1520.1,1234.44,891.99,769.77,565.56,574.38,559.89,582.75,428.76,408.42,318.6,383.76,277.56
368,"IRQ","Iraq",8.28,10.26,20.16,31.77,76.77,91.17,118.35,160.29,185.4,158.4,152.1,134.55,91.8,55.62,36.72,34.74,26.01,24.84,21.6
372,"IRL","Ireland",180.18,194.67,311.4,439.2,471.87,480.96,565.38,573.12,432.63,379.8,314.55,248.04,189.18,188.73,171.09,153.63,122.22,86.4,63.45
833,"IMN","Isle of Man",1.26,1.44,4.59,4.32,6.48,8.01,9.36,9.09,9,6.48,4.68,3.06,0.81,0.72,0.72,0.99,1.89,1.17,1.17
376,"ISR","Israel",0,0,0,0,0.45,0.63,0.63,0.63,0.63,0.18,0.18,0.36,0.36,0.36,0.36,0.36,0.18,0.18,0.18
380,"ITA","Italy",46.98,49.68,66.96,39.24,51.48,62.28,94.59,121.59,120.24,120.51,129.15,128.7,104.22,101.34,88.47,66.87,33.75,26.1,23.13
388,"JAM","Jamaica",1.17,1.17,0.99,0.99,1.62,2.52,10.8,11.61,12.69,12.78,11.97,3.78,3.6,2.52,2.07,2.16,2.61,2.61,4.05
392,"JPN","Japan",20.43,15.84,14.94,12.6,12.96,13.14,12.51,10.26,18.54,20.7,25.29,31.68,38.79,37.44,40.05,38.7,54.18,51.93,44.82
832,"JEY","Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,"JOR","Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18
